Ticker,position_dollars,time
TECH,0.005661047859524659,2021-02-10 14:30:00Z
TENB,0.0056169161161804355,2021-02-10 14:30:00Z
ROST,0.0053731296889602325,2021-02-10 14:30:00Z
FEYE,0.0052900546148231765,2021-02-10 14:30:00Z
LFUS,0.005066392660989653,2021-02-10 14:30:00Z
WWD,0.004980582165592817,2021-02-10 14:30:00Z
ICUI,0.004971034522763567,2021-02-10 14:30:00Z
KGC,0.004954214932451695,2021-02-10 14:30:00Z
WMG,0.004921226162890277,2021-02-10 14:30:00Z
MRVL,0.004911467102689171,2021-02-10 14:30:00Z
HASI,0.004840451309223755,2021-02-10 14:30:00Z
STE,0.0047966086951095974,2021-02-10 14:30:00Z
GRMN,0.004751339939458914,2021-02-10 14:30:00Z
HIG,0.004742584197691665,2021-02-10 14:30:00Z
SYNH,0.004734904253527408,2021-02-10 14:30:00Z
ODFL,0.004705438387901115,2021-02-10 14:30:00Z
TTWO,0.004658297141361636,2021-02-10 14:30:00Z
MHK,0.00464034549132471,2021-02-10 14:30:00Z
HUBS,0.004622382966443348,2021-02-10 14:30:00Z
NDAQ,0.004600918296494714,2021-02-10 14:30:00Z
ARWR,0.004592097516641197,2021-02-10 14:30:00Z
EXPO,0.004582988158539747,2021-02-10 14:30:00Z
CTXS,0.004571290081649,2021-02-10 14:30:00Z
RDFN,0.004538705330077024,2021-02-10 14:30:00Z
JNJ,0.004519869834342716,2021-02-10 14:30:00Z
MAT,0.004477514824426724,2021-02-10 14:30:00Z
CIEN,0.004470624963703498,2021-02-10 14:30:00Z
KOD,0.004469879922359925,2021-02-10 14:30:00Z
TMO,0.004451902436079698,2021-02-10 14:30:00Z
FFIV,0.004450620628140709,2021-02-10 14:30:00Z
NTNX,0.0044160818298942086,2021-02-10 14:30:00Z
AVY,0.004413295720666236,2021-02-10 14:30:00Z
TSCO,0.004399669619688523,2021-02-10 14:30:00Z
ADPT,0.004393537703608633,2021-02-10 14:30:00Z
POOL,0.004376332503686611,2021-02-10 14:30:00Z
FOLD,0.004360005393524349,2021-02-10 14:30:00Z
TNET,0.004356317460697653,2021-02-10 14:30:00Z
GWRE,0.004338304261736742,2021-02-10 14:30:00Z
EW,0.004335327253079382,2021-02-10 14:30:00Z
UPS,0.004334164875554455,2021-02-10 14:30:00Z
WSC,0.004332534306739999,2021-02-10 14:30:00Z
LIN,0.004320050753900668,2021-02-10 14:30:00Z
MSI,0.004307139397680945,2021-02-10 14:30:00Z
SNPS,0.004306600817754088,2021-02-10 14:30:00Z
GPC,0.00429945955535793,2021-02-10 14:30:00Z
CHKP,0.004290680871516728,2021-02-10 14:30:00Z
VRSK,0.004289306674555817,2021-02-10 14:30:00Z
MDB,0.00424742603332812,2021-02-10 14:30:00Z
TJX,0.004236372077966282,2021-02-10 14:30:00Z
LYB,0.0042322664095491265,2021-02-10 14:30:00Z
TENB,0.0056169161161804355,2021-02-09 14:30:00Z
TECH,0.005661047859524659,2021-02-09 14:30:00Z
ROST,0.0053731296889602325,2021-02-09 14:30:00Z
FEYE,0.0052900546148231765,2021-02-09 14:30:00Z
LFUS,0.005066392660989653,2021-02-09 14:30:00Z
WWD,0.004980582165592817,2021-02-09 14:30:00Z
ICUI,0.004971034522763567,2021-02-09 14:30:00Z
KGC,0.004954214932451695,2021-02-09 14:30:00Z
WMG,0.004921226162890277,2021-02-09 14:30:00Z
MRVL,0.004911467102689171,2021-02-09 14:30:00Z
HASI,0.004840451309223755,2021-02-09 14:30:00Z
